published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-24,235.0,238.0,232.0,234.83,-0.34,286965.0,67147595.6,0
2025-07-25,235.0,238.0,232.0,234.83,-0.34,286965.0,67147595.6,0
2025-07-26,235.0,238.0,232.0,234.83,-0.34,286965.0,67147595.6,0
2025-07-27,239.0,241.5,233.7,235.09,0.11,490176.0,116776781.9,0
2025-07-28,239.5,239.5,230.0,233.67,-0.6,316952.0,74062817.3,0
2025-07-29,241.1,244.6,236.0,242.64,2.65,729789.0,176675656.4,0
2025-07-30,247.0,247.0,236.0,236.58,-2.5,307591.0,73711159.1,0
2025-07-31,241.0,241.0,232.0,232.44,-1.75,240464.0,56291692.8,0
2025-08-01,241.0,241.0,232.0,232.44,-1.75,240464.0,56291692.8,0
2025-08-02,241.0,241.0,232.0,232.44,-1.75,240464.0,56291692.8,0
2025-08-03,230.0,232.9,225.1,226.06,-2.74,315905.0,72067185.2,0
2025-08-04,225.3,233.0,224.0,229.8,1.65,261907.0,59493200.9,0
2025-08-05,234.0,234.9,225.0,225.46,-1.89,167156.0,38162797.2,0
2025-08-06,229.0,229.0,223.1,225.57,0.05,99510.0,22430805.4,0
2025-08-07,230.0,230.0,224.1,225.35,-0.1,122290.0,27560584.1,0
2025-08-08,230.0,230.0,224.1,225.35,-0.1,122290.0,27560584.1,0
2025-08-09,230.0,230.0,224.1,225.35,-0.1,122290.0,27560584.1,0
2025-08-10,230.0,230.0,224.1,225.35,-0.1,122290.0,27560584.1,0
2025-08-11,229.0,232.0,222.0,222.18,-1.41,147981.0,33254137.0,0
2025-08-12,221.2,224.9,220.2,220.74,-0.65,78271.0,17317908.7,0
2025-08-13,221.0,222.0,218.0,218.41,-1.06,89639.0,19714421.1,0
2025-08-14,222.0,222.0,215.1,216.15,-1.03,146232.0,31737954.6,0
2025-08-15,222.0,222.0,215.1,216.15,-1.03,146232.0,31737954.6,0
2025-08-16,222.0,222.0,215.1,216.15,-1.03,146232.0,31737954.6,0
2025-08-17,216.0,216.0,211.5,211.63,-2.09,212474.0,45162626.2,0
2025-08-18,212.0,214.3,211.0,212.78,0.54,92669.0,19691405.3,0
2025-08-19,217.0,217.0,212.2,213.3,0.24,91515.0,19615191.7,0
2025-08-20,210.0,219.0,210.0,212.62,-0.32,57746.0,12301354.1,0
2025-08-21,215.0,215.2,210.0,212.08,-0.25,165935.0,35126206.3,0
2025-08-22,215.0,215.2,210.0,212.08,-0.25,165935.0,35126206.3,0
2025-08-23,215.0,215.2,210.0,212.08,-0.25,165935.0,35126206.3,0
2025-08-24,211.0,213.5,208.9,209.05,-1.43,133046.0,27937793.5,0
2025-08-25,212.0,212.0,208.2,210.2,0.55,68639.0,14395036.9,0
2025-08-26,210.0,212.9,209.0,209.31,-0.42,92378.0,19390210.4,0
2025-08-27,213.4,213.7,209.0,213.18,1.85,106943.0,22641359.8,0
2025-08-28,214.0,214.0,209.3,209.83,-1.57,152964.0,32252566.9,0
2025-08-29,214.0,214.0,209.3,209.83,-1.57,152964.0,32252566.9,0
2025-08-30,214.0,214.0,209.3,209.83,-1.57,152964.0,32252566.9,0
2025-08-31,214.0,214.0,207.0,207.35,-1.18,131791.0,27428574.7,0
2025-09-01,211.4,211.4,207.0,209.77,1.17,109662.0,22832293.7,0
2025-09-02,213.9,214.2,208.0,208.78,-0.47,88196.0,18494730.0,0
2025-09-03,208.0,211.0,207.6,209.38,0.29,101482.0,21204024.7,0
2025-09-04,211.3,211.3,207.6,209.32,-0.03,84947.0,17691321.0,0
2025-09-05,211.3,211.3,207.6,209.32,-0.03,84947.0,17691321.0,0
2025-09-06,211.3,211.3,207.6,209.32,-0.03,84947.0,17691321.0,0
2025-09-07,207.0,209.9,206.5,207.7,-0.77,55376.0,11494725.1,0
2025-09-08,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-09,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-10,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-11,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-12,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-13,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-14,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-15,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-16,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-17,206.0,209.0,205.1,205.25,-1.18,83329.0,17158925.4,0
2025-09-18,201.2,201.2,190.0,193.0,-5.97,18981.0,3674769.6,0
2025-09-19,201.2,201.2,190.0,193.0,-5.97,18981.0,3674769.6,0
2025-09-20,201.2,201.2,190.0,193.0,-5.97,18981.0,3674769.6,0
