SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2023-02-20,LBBL,SELL,214,345.0,73830.0,-4708.0,Trailing Stop (7% drop)
2023-02-22,BARUN,BUY,269,278.0,-74782.0,0.0,Trend Entry
2023-03-02,BARUN,SELL,269,257.6,69294.40000000001,-5487.599999999991,Trailing Stop (7% drop)
2023-03-13,NICA,SELL,91,777.0,70707.0,-4641.0,Trailing Stop (7% drop)
2023-03-28,CIT,BUY,35,2057.0,-71995.0,0.0,Trend Entry
2023-04-05,SANIMA,BUY,301,240.0,-72240.0,0.0,Trend Entry
2023-04-16,NMB,BUY,311,235.0,-73085.0,0.0,Trend Entry
2023-04-19,EBL,BUY,143,511.5,-73144.5,0.0,Trend Entry
2023-05-31,NMB,SELL,311,221.0,68731.0,-4354.0,Trailing Stop (7% drop)
2023-06-01,JOSHI,BUY,240,286.6,-68784.0,0.0,Trend Entry
2023-06-08,JOSHI,SELL,240,270.0,64800.0,-3984.0,Trailing Stop (7% drop)
2023-06-08,ICFC,BUY,148,436.9,-64661.2,0.0,Trend Entry
2023-06-19,CIT,SELL,35,2598.0,90930.0,18935.0,Take Profit (25% gain)
2023-06-19,LICN,BUY,49,1597.4,-78272.6,0.0,Trend Entry
2023-06-20,NICA,BUY,16,759.0,-12144.0,0.0,Trend Entry
2023-07-05,LICN,SELL,49,1580.0,77420.0,-852.6000000000058,Trailing Stop (7% drop)
2023-07-05,MFIL,BUY,147,528.0,-77616.0,0.0,Trend Entry
2023-07-23,SANIMA,SELL,301,301.0,90601.0,18361.0,Take Profit (25% gain)
